,loss,accuracy,val_loss,val_accuracy,alpha,beta
0,0.31441372632980347,0.8936750292778015,0.45577874779701233,0.8063725233078003,0.0,1.0
1,0.27749067544937134,0.9033365845680237,0.45313215255737305,0.8186274766921997,0.1,0.9
2,0.2318688929080963,0.928851842880249,0.5307649374008179,0.7745097875595093,0.2,0.8
3,0.22994983196258545,0.9254170656204224,0.528292715549469,0.779411792755127,0.3,0.7
4,0.20183412730693817,0.9411187171936035,0.5244205594062805,0.7941176295280457,0.4,0.6
5,0.21612592041492462,0.9342492818832397,0.516980767250061,0.7916666865348816,0.5,0.5
6,0.18353384733200073,0.9516683220863342,0.5038321018218994,0.8014705777168274,0.6,0.4
7,0.18679922819137573,0.9497056007385254,0.5162151455879211,0.7941176295280457,0.7,0.30000000000000004
8,0.18177899718284607,0.9531403183937073,0.5417875647544861,0.7769607901573181,0.8,0.19999999999999996
9,0.1986236274242401,0.9413641095161438,0.5251391530036926,0.7941176295280457,0.9,0.09999999999999998
10,0.17590509355068207,0.9546123743057251,0.5556676387786865,0.7745097875595093,1.0,0.0
11,0.15803839266300201,0.9627085328102112,0.5515369176864624,0.781862735748291,1.0,0.0
12,0.16406065225601196,0.9597644805908203,0.5488120913505554,0.7867646813392639,1.0,0.0
13,0.15402838587760925,0.965652585029602,0.5358726382255554,0.7892156839370728,1.0,0.0
14,0.15145407617092133,0.9673699736595154,0.5154707431793213,0.7965686321258545,1.0,0.0
