,op_name,tensor_idx,num_elements,stddev,mean_error,max_abs_error,mean_squared_error,mean_abs_error,correlation,scale,zero_point,tensor_name,range,rmse/scale
7,SQUARED_DIFFERENCE,1030,65536.0,0.00094559387,-0.0003585355,0.0022970077,1.0228742e-06,0.00074669404,0.8207080273414229,0.0045823157,-128,model_1/transformer/bert_embedding/layer_normalization/moments/SquaredDifference,1.1684905035,0.22071208098427006
490,MUL,2962,16384.0,0.0,0.0,0.0,0.0,0.0,0.8136820228338557,0.10690324,8,model_1/transformer/layer_4/mha/mhasdp_1/truediv;model_1/transformer/layer_0/mha/mhasdp_0/Sqrt,27.260326199999998,0.0
491,ADD,2966,16384.0,0.0,0.0,0.0,0.0,0.0,0.8136820228338557,0.10690324,8,model_1/transformer/layer_4/mha/mhasdp_1/add,27.260326199999998,0.0
178,MUL,1714,16384.0,0.0,0.0,0.0,0.0,0.0,0.8136761453846606,0.6233078,26,model_1/transformer/layer_1/mha/mhasdp_4/truediv;model_1/transformer/layer_0/mha/mhasdp_0/Sqrt,158.943489,0.0
179,ADD,1718,16384.0,0.0,0.0,0.0,0.0,0.0,0.8136761453846606,0.6233078,26,model_1/transformer/layer_1/mha/mhasdp_4/add,158.943489,0.0
513,ADD,3054,16384.0,0.0,0.0,0.0,0.0,0.0,0.7797463766611027,0.13098331,9,model_1/transformer/layer_4/mha/mhasdp_3/add,33.40074405,0.0
512,MUL,3050,16384.0,0.0,0.0,0.0,0.0,0.0,0.7797463766611027,0.13098331,9,model_1/transformer/layer_4/mha/mhasdp_3/truediv;model_1/transformer/layer_0/mha/mhasdp_0/Sqrt,33.40074405,0.0
711,SOFTMAX,3846,16384.0,0.0007553209,-0.00020357483,0.001952557,6.158271e-07,0.00053169555,0.7780480970494082,0.00390625,-128,model_1/transformer/layer_6/mha/mhasdp_0/Softmax,0.99609375,0.20089510901363428
480,ADD,2922,16384.0,0.0,0.0,0.0,0.0,0.0,0.7610778707818098,0.105562784,7,model_1/transformer/layer_4/mha/mhasdp_0/add,26.91850992,0.0
479,MUL,2918,16384.0,0.0,0.0,0.0,0.0,0.0,0.7610778707818098,0.105562784,7,model_1/transformer/layer_4/mha/mhasdp_0/truediv;model_1/transformer/layer_0/mha/mhasdp_0/Sqrt,26.91850992,0.0
410,SOFTMAX,2642,16384.0,0.00059262203,-0.00011546926,0.0019525093,3.6496758e-07,0.00032659256,0.7536524132241554,0.00390625,-128,model_1/transformer/layer_3/mha/mhasdp_4/Softmax,0.99609375,0.1546561195778557
744,SOFTMAX,3978,16384.0,0.0007492556,-0.00017007127,0.0019563104,5.951122e-07,0.0005052916,0.7512240158528013,0.00390625,-128,model_1/transformer/layer_6/mha/mhasdp_3/Softmax,0.99609375,0.19748739995047787
251,SOFTMAX,2006,16384.0,0.0010499726,-0.00013938715,0.0019527989,1.1243238e-06,0.00088197767,0.7466547775499756,0.00390625,-128,model_1/transformer/layer_2/mha/mhasdp_0/Softmax,0.99609375,0.27144738819299774
337,SQUARED_DIFFERENCE,2350,65536.0,0.39677987,-0.08215523,0.8241598,0.16419844,0.31836662,0.7422784992246929,1.6476406,-128,model_1/transformer/layer_2/attention_layer_norm/moments/SquaredDifference,420.148353,0.2459359564720439
686,SUB,3746,65536.0,0.003816213,0.027899444,0.03584464,0.0007948678,0.027903201,0.739122288806826,0.09346241,-64,model_1/transformer/layer_5/attention_layer_norm/sub,23.832914549999998,0.30165496413868054
680,ADD,3722,65536.0,0.025970569,0.001033566,0.6537391,0.00067567884,0.021593668,0.7384589862709984,0.093424454,-64,model_1/transformer/layer_5/add,23.82323577,0.2782336101469132
640,SOFTMAX,3562,16384.0,0.0005049285,-0.00013455527,0.0019520682,2.7448326e-07,0.0002672944,0.7351240778887166,0.00390625,-128,model_1/transformer/layer_5/mha/mhasdp_4/Softmax,0.99609375,0.13412134404098403
766,SOFTMAX,4066,16384.0,0.00053437916,-0.00013276015,0.0019522548,3.046e-07,0.00028839146,0.728892221968696,0.00390625,-128,model_1/transformer/layer_6/mha/mhasdp_5/Softmax,0.99609375,0.1412878819998375
